,0
0,767
1,1380
2,164
3,2143
4,1038
5,815
6,1185
7,242
8,2033
9,504
10,272
11,1157
12,1303
13,274
14,342
15,1783
16,1637
17,1846
18,1773
19,2201
20,2357
21,448
22,100
23,1836
24,56
25,1758
26,1031
27,431
28,2316
29,642
30,739
31,1205
32,1514
33,1632
34,2011
35,1025
36,2256
37,2091
38,1325
39,617
40,733
41,407
42,1768
43,1301
44,900
45,212
46,286
47,1521
48,238
49,1808
50,1503
51,2049
52,515
53,2062
54,219
55,254
56,1975
57,1236
58,981
59,1109
60,1209
61,413
62,1454
63,1672
64,619
65,2107
66,2279
67,514
68,1204
69,998
70,649
71,711
72,865
73,372
74,180
75,627
76,412
77,1550
78,864
79,2053
80,1310
81,1329
82,256
83,1190
84,1200
85,2344
86,761
87,742
88,701
89,1767
90,1589
91,1385
92,2332
93,230
94,1418
95,816
96,881
97,588
98,1842
99,44
