,0
0,257
1,538
2,1792
3,442
4,803
5,182
6,1520
7,2301
8,1406
9,1811
10,367
11,1923
12,504
13,1518
14,166
15,1436
16,1461
17,976
18,117
19,1466
20,590
21,1141
22,1607
23,1430
24,1770
25,797
26,735
27,932
28,2016
29,1295
30,180
31,2144
32,446
33,1700
34,93
35,1078
36,392
37,449
38,949
39,1955
40,2239
41,336
42,1447
43,1644
44,56
45,2228
46,1144
47,2345
48,866
49,936
50,576
51,1527
52,1276
53,535
54,197
55,255
56,2092
57,2178
58,215
59,1080
60,2019
61,1990
62,2292
63,1204
64,1682
65,470
66,172
67,628
68,488
69,1479
70,1156
71,1347
72,750
73,1984
74,1189
75,626
76,971
77,456
78,1476
79,727
80,1060
81,2054
82,1825
83,1110
84,1109
85,213
86,463
87,1707
88,1777
89,1104
90,372
91,744
92,263
93,1471
94,516
95,1081
96,242
97,2023
98,135
99,1762
