,0
0,441
1,1241
2,2257
3,242
4,284
5,464
6,792
7,1960
8,2150
9,1511
10,2137
11,465
12,1662
13,2268
14,892
15,1454
16,1000
17,2057
18,53
19,1090
20,2245
21,1596
22,1474
23,1846
24,611
25,1546
26,294
27,1066
28,1143
29,2250
30,1231
31,2106
32,2027
33,2089
34,1986
35,2168
36,74
37,176
38,423
39,1922
40,1763
41,2234
42,299
43,541
44,1349
45,789
46,574
47,504
48,1282
49,733
50,1839
51,552
52,1046
53,501
54,1271
55,1220
56,2178
57,654
58,413
59,797
60,1641
61,370
62,436
63,197
64,1189
65,2233
66,327
67,1610
68,179
69,1887
70,1890
71,2293
72,2054
73,770
74,2362
75,1523
76,524
77,1379
78,2219
79,390
80,2276
81,661
82,1281
83,1938
84,1944
85,123
86,2093
87,538
88,81
89,2376
90,1633
91,2181
92,2183
93,2214
94,1449
95,1366
96,920
97,919
98,1045
99,1280
